省份,性别,年龄,金额
浙江,1,21,100
山东,1,21,100
福建,1,21,100
北京,1,21,100
广东,1,21,100
广东,1,21,100
陕西,1,21,100
吉林,1,21,100
重庆,1,21,100
广东,1,21,100
浙江,0,21,100
山东,1,21,100
吉林,1,21,100
广西,1,21,100
浙江,0,21,100
浙江,0,21,100
黑龙江,0,21,100
浙江,1,21,100
广东,1,21,100
贵州,0,21,100
广东,0,21,100
广西,1,21,100
上海,0,21,100
内蒙古,1,21,100
山东,0,21,100
河北,1,21,100
内蒙古,1,21,100
吉林,0,21,100
广东,1,21,100
浙江,1,21,100
河北,0,21,100
新疆,1,21,100
江西,1,21,100
河北,1,21,100
河北,1,21,100
浙江,1,21,100
浙江,1,21,100
湖北,0,21,100
四川,1,21,100
河南,0,21,100
河南,0,21,100
广西,0,21,100
江西,1,21,100
广东,0,21,100
广东,0,21,100
河南,0,21,100
浙江,1,21,100
浙江,1,21,100
江西,0,21,100
广东,0,21,100
四川,0,21,100
陕西,1,21,100
福建,1,21,100
河北,1,21,100
重庆,0,21,100
浙江,0,21,100
河北,0,21,100
重庆,0,21,100
山东,1,21,100
山东,0,21,100
浙江,1,21,100
云南,0,21,100
广西,0,21,100
山西,0,21,100
江苏,0,21,100
山东,1,21,100
江苏,1,21,100
江苏,0,21,100
广东,1,21,100
宁夏,1,21,100
北京,1,21,100
广东,1,21,100
河北,0,21,100
福建,0,21,100
浙江,1,21,100
山西,1,21,100
河南,1,21,100
河北,1,21,100
山西,1,21,100
重庆,1,21,100
浙江,1,21,100
河北,0,21,100
山西,0,21,100
安徽,1,21,100
重庆,0,21,100
广东,0,21,100
河北,1,21,100
福建,0,21,100
辽宁,1,21,100
河北,1,21,100
山东,0,21,100
广西,1,21,100
河南,0,21,100
江西,1,21,100
河南,0,21,100
河北,0,21,100
广东,1,21,100
福建,1,21,100
广东,0,21,100
四川,0,21,100
四川,1,21,100
山东,1,21,100
广东,0,21,100
江西,0,21,100
福建,0,21,100
江苏,0,21,100
福建,0,21,100
安徽,1,21,100
山东,1,21,100
河南,0,21,100
福建,0,21,100
山东,1,21,100
黑龙江,0,21,100
浙江,1,21,100
江苏,0,21,100
江苏,1,21,100
湖北,1,21,100
山东,0,21,100
山东,1,21,100
河北,1,21,101
江苏,0,21,101
广东,1,21,101
湖北,1,21,102
广东,0,21,102
广西,1,21,102
江西,1,21,102
江苏,1,21,102
四川,0,21,103
吉林,0,21,106
浙江,0,21,132
天津,0,21,133
广东,0,21,140
湖南,0,21,150
山西,1,21,150
四川,0,21,190
福建,0,21,200
内蒙古,0,21,200
广东,1,21,200
四川,1,21,200
湖北,0,21,200
海南,1,21,200
海南,1,21,200
广西,1,21,200
江西,1,21,200.81
江苏,1,21,200.81
广东,1,21,200.81
广西,0,21,202
广东,0,21,205
浙江,0,21,206.44
河北,1,21,216
福建,1,21,300
安徽,1,21,300
青海,1,21,300
上海,1,21,300
广东,0,21,300.81
广西,0,21,301
广东,1,21,301
河南,1,21,301.81
河南,1,21,333.26
广东,0,21,344
山东,0,21,345.11
山东,1,21,400
四川,1,21,400
北京,1,21,400
广东,1,21,400.81
广东,0,21,401
福建,1,21,401.63
浙江,1,21,405.25
广东,0,21,473
湖北,1,21,500
湖北,0,21,500
浙江,1,21,500
北京,1,21,500
福建,1,21,500
浙江,1,21,500
广东,1,21,500
云南,0,21,500
北京,1,21,500
湖南,0,21,500.81
湖南,1,21,501
山东,1,21,508.3
广东,0,21,562
山西,0,21,600
上海,0,21,600
上海,0,21,600
